"Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"
20111201	1246.91	1269.37	1202.37	1257.6	3667346600	1257.6
20111101	1251	1277.55	1158.66	1246.96	4288791900	1246.96
20111003	1131.21	1292.66	1074.77	1253.3	4874946600	1253.3
20110901	1219.12	1229.29	1114.22	1131.42	5104933800	1131.42
20110801	1292.59	1307.38	1101.54	1218.89	4942913400	1218.89
20110701	1320.64	1356.48	1282.86	1292.28	4308168000	1292.28
20110601	1345.2	1345.2	1258.07	1320.64	4105601300	1320.64
20110502	1365.21	1370.58	1311.8	1345.2	4114534200	1345.2
20110401	1329.48	1364.56	1294.7	1363.61	4042194000	1363.61
20110301	1328.64	1332.28	1249.05	1325.83	4046691700	1325.83
20110201	1289.14	1344.07	1289.14	1327.22	3225297300	1327.22
20110103	1257.62	1302.67	1257.62	1286.12	4816605000	1286.12
20101201	1186.6	1262.6	1186.6	1257.64	3762922700	1257.64
20101101	1185.71	1227.08	1173	1180.55	4354084200	1180.55
20101001	1143.49	1196.14	1131.87	1183.26	4432102300	1183.26
20100901	1049.72	1157.16	1049.72	1141.2	3993981400	1141.2
20100802	1107.53	1129.24	1039.7	1049.33	4044967700	1049.33
20100701	1031.1	1120.95	1010.91	1101.6	4704026600	1101.6
20100601	1087.3	1131.23	1028.33	1030.71	5235174000	1030.71
20100503	1188.58	1205.13	1040.78	1089.41	6626699400	1089.41
20100401	1171.23	1219.8	1170.69	1186.69	5847150900	1186.69
20100301	1105.36	1180.69	1105.36	1169.43	4702951700	1169.43
20100201	1073.89	1112.42	1044.5	1104.49	4658238400	1104.49
20100104	1116.56	1150.45	1071.59	1073.87	5071601500	1073.87
20091201	1098.89	1130.38	1085.89	1115.1	4163287200	1115.1
20091102	1036.18	1113.69	1029.38	1095.63	4443852500	1095.63
20091001	1054.91	1101.36	1019.95	1036.19	5451064000	1036.19
20090901	1019.52	1080.15	991.97	1057.08	5633064200	1057.08
20090803	990.22	1039.47	978.51	1020.62	5764944200	1020.62
20090701	920.82	996.68	869.32	987.48	5080675400	987.48
20090601	923.26	956.23	888.86	919.32	5330941800	919.32
20090501	872.74	930.17	866.1	919.14	6883268000	919.14
20090401	793.59	888.7	783.32	872.81	6938945600	872.81
20090302	729.57	832.98	666.79	797.87	7633306300	797.87
20090202	823.09	875.01	734.52	735.09	7022036200	735.09
20090102	902.99	943.85	804.3	825.88	5844561500	825.88
20081201	888.61	918.85	815.69	903.25	5320791300	903.25
20081103	968.67	1007.51	741.02	896.24	6231635200	896.24
20081001	1164.17	1167.03	839.8	968.75	7226593900	968.75
20080902	1287.83	1303.04	1106.42	1166.36	6900428500	1166.36
20080801	1269.42	1313.15	1247.45	1282.83	4264482300	1282.83
20080701	1276.69	1292.17	1200.44	1267.38	5923937200	1267.38
20080602	1399.62	1404.05	1272	1280	4840303300	1280
20080501	1385.97	1440.24	1373.07	1400.38	4039814700	1400.38
20080401	1326.41	1404.57	1324.35	1385.59	4113069000	1385.59
20080303	1330.45	1359.68	1256.98	1322.7	4661172000	1322.7
20080201	1378.6	1396.02	1316.75	1330.63	4148143000	1330.63
20080102	1467.97	1471.77	1270.05	1378.55	4925982300	1378.55
20071203	1479.63	1523.57	1435.65	1468.36	3363127500	1468.36
20071101	1545.79	1545.79	1406.1	1481.14	4317578500	1481.14
20071001	1527.29	1576.09	1489.56	1549.38	3477202100	1549.38
20070904	1473.96	1538.74	1439.29	1526.75	3196581500	1526.75
20070801	1455.18	1503.89	1370.6	1473.99	4091885600	1473.99
20070702	1504.66	1555.9	1454.25	1455.27	3564664200	1455.27
20070601	1530.62	1540.56	1484.18	1503.35	3261343300	1503.35
20070501	1482.37	1535.56	1476.7	1530.62	3104253600	1530.62
20070402	1420.83	1498.02	1416.37	1482.37	3006294500	1482.37
20070301	1406.8	1438.89	1363.98	1420.86	3205736800	1420.86
20070201	1437.9	1461.57	1389.42	1406.82	2935275700	1406.82
20070103	1418.03	1441.61	1403.97	1438.24	2983144500	1438.24
20061201	1400.63	1431.81	1385.93	1418.3	2462849000	1418.3
20061101	1377.76	1407.89	1360.98	1400.63	2826198000	1400.63
20061002	1335.82	1389.45	1327.1	1377.94	2708938600	1377.94
20060901	1303.8	1340.28	1290.93	1335.85	2563743500	1335.85
20060801	1278.53	1306.74	1261.3	1303.82	2280876500	1303.82
20060703	1270.06	1280.42	1224.54	1276.66	2440476000	1276.66
20060601	1270.05	1290.68	1219.29	1270.2	2632855400	1270.2
20060501	1310.61	1326.7	1245.34	1270.09	2591135900	1270.09
20060403	1302.88	1318.16	1280.74	1310.61	2406755200	1310.61
20060301	1280.66	1310.88	1268.42	1294.87	2310510800	1294.87
20060201	1280.08	1297.57	1253.61	1280.66	2380568400	1280.66
20060103	1248.29	1294.9	1245.74	1280.08	2595998000	1280.08
20051201	1249.48	1275.8	1246.59	1248.29	2057125200	1248.29
20051101	1207.01	1270.64	1201.07	1249.48	2260836100	1249.48
20051003	1228.81	1233.34	1168.2	1207.01	2493393300	1207.01
20050901	1220.33	1243.13	1205.35	1228.81	2232144200	1228.81
20050801	1234.18	1245.86	1201.07	1220.33	1930243400	1220.33
20050701	1191.33	1245.15	1183.55	1234.18	1962713500	1234.18
20050601	1191.5	1219.59	1188.3	1191.33	1929251300	1191.33
20050502	1156.85	1199.56	1146.18	1191.5	1960127100	1191.5
20050401	1180.59	1191.88	1136.15	1156.85	2180315700	1156.85
20050301	1203.6	1229.11	1163.69	1180.59	1874017200	1180.59
20050201	1181.27	1212.44	1180.95	1203.6	1636467800	1203.6
20050103	1211.92	1217.8	1163.75	1181.27	1658930000	1181.27
20041201	1173.78	1217.33	1173.78	1211.92	1449518100	1211.92
20041101	1130.2	1188.46	1127.6	1173.82	1524465700	1173.82
20041001	1114.58	1142.05	1090.29	1130.2	1571990400	1130.2
20040901	1104.24	1131.54	1099.18	1114.58	1360850900	1114.58
20040802	1101.72	1109.68	1060.72	1104.24	1260227200	1104.24
20040701	1140.84	1140.84	1078.78	1101.72	1456371400	1101.72
20040601	1120.68	1146.34	1113.32	1140.84	1381109500	1140.84
20040503	1107.3	1127.74	1076.32	1120.68	1524950000	1120.68
20040401	1126.21	1150.57	1107.23	1107.3	1583171400	1107.3
20040301	1144.94	1163.23	1087.16	1126.21	1528634700	1126.21
20040202	1131.13	1158.98	1124.44	1144.94	1554000000	1144.94
20040102	1111.92	1155.38	1105.08	1131.13	1722750000	1131.13
20031201	1058.2	1112.56	1053.41	1111.92	1312119500	1111.92
20031103	1050.71	1063.65	1031.2	1058.2	1313181000	1058.2
20031001	995.97	1053.79	995.97	1050.71	1469452100	1050.71
20030902	1008.01	1040.29	990.36	995.97	1501457600	995.97
20030801	990.31	1011.01	960.84	1008.01	1229836600	1008.01
20030701	974.5	1015.41	962.1	990.31	1507327200	990.31
20030602	963.59	1015.33	963.59	974.5	1562219000	974.5
20030501	916.92	965.38	902.83	963.59	1554328500	963.59
20030401	848.18	924.24	847.85	916.92	1498005700	916.92
20030303	841.15	895.9	788.9	848.18	1503596600	848.18
20030203	855.7	864.64	806.29	841.15	1400452600	841.15
20030102	879.82	935.05	840.34	855.7	1539433800	855.7
20021202	936.31	954.28	869.45	879.82	1289625700	879.82
20021101	885.76	941.82	872.05	936.31	1492221000	936.31
20021001	815.28	907.44	768.63	885.76	1717287300	885.76
20020903	916.07	924.02	800.2	815.28	1472279000	815.28
20020801	911.62	965	833.44	916.07	1374013600	916.07
20020701	989.82	994.46	775.68	911.62	2012640000	911.62
20020603	1067.14	1070.74	952.92	989.82	1604925500	989.82
20020501	1076.92	1106.59	1048.96	1067.14	1281036300	1067.14
20020401	1147.39	1147.84	1063.46	1076.92	1372613600	1076.92
20020301	1106.73	1173.94	1106.73	1147.39	1385540000	1147.39
20020201	1130.2	1130.2	1074.36	1106.73	1444200000	1106.73
20020102	1148.08	1176.97	1081.66	1130.2	1490628500	1130.2
20011203	1139.45	1173.62	1114.53	1148.08	1303608500	1148.08
20011101	1059.78	1163.38	1054.31	1139.45	1317790400	1139.45
20011001	1040.94	1110.61	1026.76	1059.78	1361033900	1059.78
20010904	1133.58	1155.4	944.75	1040.94	1777119300	1040.94
20010801	1211.23	1226.27	1124.87	1133.58	1055621700	1133.58
20010702	1224.42	1239.78	1165.54	1211.23	1186805200	1211.23
20010601	1255.82	1286.62	1203.03	1224.38	1265732800	1224.38
20010501	1249.46	1315.93	1232	1255.82	1170568100	1255.82
20010402	1160.33	1269.3	1091.99	1249.46	1333839500	1249.46
20010301	1239.94	1267.42	1081.19	1160.33	1322155000	1160.33
20010201	1366.01	1376.38	1215.44	1239.94	1203668400	1239.94
20010102	1320.28	1383.37	1274.62	1366.01	1386909500	1366.01
20001201	1314.95	1389.05	1254.07	1320.28	1232315000	1320.28
20001101	1429.4	1438.46	1294.9	1314.95	1034230000	1314.95
20001002	1436.52	1454.82	1305.79	1429.4	1241718100	1429.4
20000901	1517.68	1530.09	1419.44	1436.51	1101770000	1436.51
20000801	1430.83	1525.21	1425.43	1517.68	931317300	1517.68
20000703	1454.6	1517.32	1413.89	1430.83	1002085000	1430.83
20000601	1420.6	1488.93	1420.6	1454.6	1054454500	1454.6
20000501	1452.43	1481.51	1361.09	1420.6	948127200	1420.6
20000403	1498.58	1527.19	1339.4	1452.43	1110055700	1452.43
20000301	1366.42	1552.87	1346.62	1498.58	1190591300	1498.58
20000201	1394.46	1444.55	1325.07	1366.42	1105815000	1366.42
20000103	1469.25	1478	1350.14	1394.46	1124410000	1394.46
19991201	1388.91	1473.1	1387.38	1469.25	909760900	1469.25
19991101	1362.93	1425.31	1346.41	1388.91	920777100	1388.91
19991001	1282.71	1373.17	1233.7	1362.93	950119000	1362.93
19990901	1320.41	1361.39	1256.26	1282.71	831252300	1282.71
