
    date   smlo_vwret  smlo_nfirms   smlo_msize   smme_vwret  smme_nfirms   smme_msize   smhi_vwret  smhi_nfirms   smhi_msize   bilo_vwret  bilo_nfirms   bilo_msize   bime_vwret  bime_nfirms   bime_msize   bihi_vwret  bihi_nfirms   bihi_msize

19920131        0.075         1176       106.13       0.0752         1063       111.58       0.1048         1291         58.6       -0.023          357      4888.16      -0.0146          309      3690.53       0.0397          130      2203.23
19920228       0.0073         1165       114.13       0.0282         1057       120.39       0.0701         1282        65.06       0.0034          357       4771.8       0.0081          309         3629        0.068          130      2284.82
19920331      -0.0645         1159       115.04       -0.013         1052       123.67      -0.0068         1266        70.33      -0.0278          357       4779.7      -0.0128          309      3638.83      -0.0111          129      2439.53
19920430      -0.0554         1145       108.75       -0.024         1046       122.39      -0.0098         1254        70.35       0.0012          357      4635.97       0.0496          308      3591.62       0.0422          128      2383.45
19920529      -0.0058         1121       104.68       0.0093         1040       119.51       0.0252         1247        69.38       0.0096          356      4641.28       0.0044          308      3761.17        0.002          128       2478.3
19920630      -0.0617         1103       105.61      -0.0324         1030       121.28      -0.0268         1231        71.42      -0.0248          356      4676.94      -0.0109          307      3764.88       0.0067          127      2482.36
19920731       0.0263         1391       102.28       0.0333          943       119.18       0.0391         1317        60.69       0.0432          352      4382.42       0.0464          342      3735.87       0.0209          164      2562.67
19920831      -0.0424         1381       105.31      -0.0155          935       123.87      -0.0266         1299        63.57       -0.011          352       4568.7      -0.0215          342       3901.2      -0.0487          164      2609.67
19920930       0.0148         1376       101.08       0.0249          935       121.69       0.0154         1292        62.08       0.0167          350      4529.82       0.0089          342      3797.73       0.0122          164      2470.93
19921030       0.0435         1365       102.94       0.0249          929       124.16       0.0175         1280        63.04        0.024          349      4606.76      -0.0092          341      3832.18       0.0092          164      2494.44
19921130       0.0958         1360       107.74       0.0639          926       127.12       0.0657         1271         64.5       0.0458          349      4714.31       0.0256          341       3789.2       0.0453          164      2511.33
19921231       0.0259         1355        118.3        0.036          917       135.44       0.0495         1268        68.76        0.007          349      4921.84       0.0215          341       3866.2        0.034          163         2624
19930129       0.0134         1351        121.6       0.0404          916       139.66       0.0649         1256        72.35       -0.011          349      4946.38       0.0147          340      3949.39       0.0542          163      2706.66
19930226      -0.0634         1346        123.2      -0.0012          909       145.46       0.0122         1249        77.36      -0.0235          349      4887.96       0.0411          340      4000.62       0.0308          163      2847.51
19930331       0.0209         1339       115.86       0.0263          902       145.38       0.0359         1241        78.51       0.0176          349      4765.49       0.0312          338      4155.51       0.0273          162      2936.74
19930430      -0.0375         1333       118.72      -0.0247          902       148.99      -0.0256         1236        81.33      -0.0504          349      4837.47      -0.0089          338      4273.96      -0.0092          162      3008.87
19930528       0.0669         1327        114.4       0.0326          896        145.5       0.0306         1232        79.34       0.0401          349      4590.14       0.0235          338      4228.75       0.0074          162      2974.91
