"DATE"	"VALUE"
"1992-01-31"	4.1875
"1992-02-03"	4.1875
"1992-02-04"	4.13281
"1992-02-05"	4.125
"1992-02-06"	4.0625
"1992-02-07"	4.125
"1992-02-10"	4
"1992-02-11"	4
"1992-02-12"	4
"1992-02-13"	4
"1992-02-14"	4.125
"1992-02-17"	4.1875
"1992-02-18"	4.1875
"1992-02-19"	4.25
"1992-02-20"	4.25
"1992-02-21"	4.25
"1992-02-24"	4.3125
"1992-02-25"	4.25
"1992-02-26"	4.1875
"1992-02-27"	4.25
"1992-02-28"	4.25
"1992-03-02"	4.25
"1992-03-03"	4.3125
"1992-03-04"	4.3125
"1992-03-05"	4.375
"1992-03-06"	4.375
"1992-03-09"	4.375
"1992-03-10"	4.3125
"1992-03-11"	4.3125
"1992-03-12"	4.375
"1992-03-13"	4.375
"1992-03-16"	4.375
"1992-03-17"	4.375
"1992-03-18"	4.375
"1992-03-19"	4.375
"1992-03-20"	4.375
"1992-03-23"	4.375
"1992-03-24"	4.375
"1992-03-25"	4.3125
"1992-03-26"	4.25
"1992-03-27"	4.3125
"1992-03-30"	4.25
"1992-03-31"	4.25
"1992-04-01"	4.25
"1992-04-02"	4.25
"1992-04-03"	4.25
"1992-04-06"	4.25
"1992-04-07"	4.20313
"1992-04-08"	4.1875
"1992-04-09"	4.1875
"1992-04-10"	4
"1992-04-13"	4.0625
"1992-04-14"	4.0625
"1992-04-15"	4.07031
"1992-04-16"	4.0625
"1992-04-21"	4.125
"1992-04-22"	4.10938
"1992-04-23"	4.03125
"1992-04-24"	4
"1992-04-27"	3.9375
"1992-04-28"	4
"1992-04-29"	3.9375
"1992-04-30"	3.9375
"1992-05-01"	3.9375
"1992-05-05"	3.9375
"1992-05-06"	3.875
"1992-05-07"	3.84375
"1992-05-08"	3.75
"1992-05-11"	3.8125
"1992-05-12"	3.8125
"1992-05-13"	3.8125
"1992-05-14"	3.8125
"1992-05-15"	3.875
"1992-05-18"	3.875
"1992-05-19"	3.875
"1992-05-20"	3.8125
"1992-05-21"	3.875
"1992-05-22"	3.9375
"1992-05-26"	3.9375
"1992-05-27"	4
"1992-05-28"	4
"1992-05-29"	4
"1992-06-01"	4
"1992-06-02"	4
"1992-06-03"	4
"1992-06-04"	4
"1992-06-05"	4
"1992-06-08"	3.9375
"1992-06-09"	3.9375
"1992-06-10"	3.9375
"1992-06-11"	3.9375
"1992-06-12"	3.9375
"1992-06-15"	3.9375
"1992-06-16"	3.9375
"1992-06-17"	3.875
"1992-06-18"	3.875
"1992-06-19"	3.875
"1992-06-22"	3.9375
"1992-06-23"	3.9375
"1992-06-24"	3.9375
"1992-06-25"	3.88281
"1992-06-26"	3.88281
"1992-06-29"	3.9375
"1992-06-30"	3.9375
"1992-07-01"	3.9375
"1992-07-02"	3.875
"1992-07-03"	3.5625
"1992-07-06"	3.5625
"1992-07-07"	3.5
"1992-07-08"	3.4375
"1992-07-09"	3.4375
"1992-07-10"	3.4375
"1992-07-13"	3.4375
"1992-07-14"	3.4375
"1992-07-15"	3.4375
"1992-07-16"	3.375
"1992-07-17"	3.375
"1992-07-20"	3.375
"1992-07-21"	3.375
"1992-07-22"	3.375
"1992-07-23"	3.39844
"1992-07-24"	3.38281
"1992-07-27"	3.375
"1992-07-28"	3.375
"1992-07-29"	3.375
"1992-07-30"	3.375
"1992-07-31"	3.375
"1992-08-03"	3.4375
"1992-08-04"	3.4375
"1992-08-05"	3.4375
"1992-08-06"	3.4375
"1992-08-07"	3.4375
"1992-08-10"	3.375
"1992-08-11"	3.375
"1992-08-12"	3.375
"1992-08-13"	3.375
"1992-08-14"	3.375
"1992-08-17"	3.375
"1992-08-18"	3.375
"1992-08-19"	3.375
"1992-08-20"	3.375
"1992-08-21"	3.375
"1992-08-24"	3.375
"1992-08-25"	3.4375
"1992-08-26"	3.4375
"1992-08-27"	3.46875
"1992-08-28"	3.48438
"1992-09-01"	3.5
"1992-09-02"	3.4375
"1992-09-03"	3.4375
"1992-09-04"	3.4375
"1992-09-07"	3.25
"1992-09-08"	3.1875
"1992-09-09"	3.1875
"1992-09-10"	3.1875
"1992-09-11"	3.1875
"1992-09-14"	3.125
"1992-09-15"	3.125
"1992-09-16"	3.1875
"1992-09-17"	3.1875
"1992-09-18"	3.25
"1992-09-21"	3.25
"1992-09-22"	3.3125
"1992-09-23"	3.375
"1992-09-24"	3.375
"1992-09-25"	3.3125
"1992-09-28"	3.25
"1992-09-29"	3.1875
"1992-09-30"	3.1875
"1992-10-01"	3.1875
"1992-10-02"	3
"1992-10-05"	3.125
"1992-10-06"	3.0625
"1992-10-07"	3.125
"1992-10-08"	3.1875
"1992-10-09"	3.1875
"1992-10-12"	3.1875
"1992-10-13"	3.25
"1992-10-14"	3.3125
"1992-10-15"	3.25
"1992-10-16"	3.25
"1992-10-19"	3.25
"1992-10-20"	3.375
"1992-10-21"	3.3125
"1992-10-22"	3.25
"1992-10-23"	3.25
"1992-10-26"	3.3125
"1992-10-27"	3.3125
"1992-10-28"	3.25
