"Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"
"2012-02-08"	2	2	1.96	1.98	0	1.98
"2012-02-07"	1.91	1.99	1.91	1.97	0	1.97
"2012-02-06"	1.92	1.95	1.89	1.9	0	1.9
"2012-02-03"	1.82	1.96	1.81	1.95	0	1.95
"2012-02-02"	1.82	1.85	1.81	1.83	0	1.83
"2012-02-01"	1.81	1.85	1.8	1.85	0	1.85
"2012-01-31"	1.85	1.86	1.8	1.8	0	1.8
"2012-01-30"	1.84	1.85	1.81	1.84	0	1.84
"2012-01-27"	1.96	1.97	1.89	1.9	0	1.9
"2012-01-26"	1.96	1.98	1.92	1.93	0	1.93
"2012-01-25"	2.05	2.07	1.92	2.01	0	2.01
"2012-01-24"	2.05	2.09	2.04	2.06	0	2.06
"2012-01-23"	2.06	2.09	2.05	2.07	0	2.07
"2012-01-20"	1.99	2.03	1.98	2.03	0	2.03
"2012-01-19"	1.93	2	1.92	1.97	0	1.97
"2012-01-18"	1.86	1.9	1.84	1.9	0	1.9
"2012-01-17"	1.9	1.9	1.85	1.85	0	1.85
"2012-01-13"	1.9	1.9	1.84	1.85	0	1.85
"2012-01-12"	1.92	1.94	1.89	1.93	0	1.93
"2012-01-11"	1.95	1.95	1.9	1.9	0	1.9
"2012-01-10"	1.99	2.01	1.95	1.97	0	1.97
"2012-01-09"	1.98	1.99	1.92	1.96	0	1.96
"2012-01-06"	2	2.04	1.95	1.96	0	1.96
"2012-01-05"	1.99	2.02	1.94	1.99	0	1.99
"2012-01-04"	1.94	2.01	1.93	2	0	2
"2012-01-03"	1.95	1.97	1.91	1.96	0	1.96
"2011-12-30"	1.9	1.9	1.86	1.87	0	1.87
"2011-12-29"	1.91	1.94	1.88	1.9	0	1.9
"2011-12-28"	2.01	2.01	1.91	1.91	0	1.91
"2011-12-27"	2.03	2.03	2	2.01	0	2.01
"2011-12-23"	1.97	2.04	1.96	2.03	0	2.03
"2011-12-22"	1.96	1.97	1.92	1.95	0	1.95
"2011-12-21"	1.91	1.98	1.9	1.97	0	1.97
"2011-12-20"	1.85	1.93	1.85	1.92	0	1.92
"2011-12-19"	1.86	1.88	1.8	1.81	0	1.81
"2011-12-16"	1.92	1.92	1.84	1.85	0	1.85
"2011-12-15"	1.9	1.94	1.9	1.91	0	1.91
"2011-12-14"	1.96	1.97	1.9	1.9	0	1.9
"2011-12-13"	2.04	2.06	1.95	1.96	0	1.96
"2011-12-12"	2.03	2.03	1.99	2.01	0	2.01
"2011-12-09"	2	2.06	1.97	2.05	0	2.05
"2011-12-08"	2.06	2.1	1.97	1.97	0	1.97
"2011-12-07"	2.07	2.09	2.01	2.02	0	2.02
"2011-12-06"	2.07	2.1	2.05	2.09	0	2.09
"2011-12-05"	2.08	2.11	2.04	2.05	0	2.05
"2011-12-02"	2.13	2.16	2.04	2.04	0	2.04
"2011-12-01"	2.13	2.14	2.07	2.12	0	2.12
"2011-11-30"	2.06	2.11	2.05	2.07	0	2.07
"2011-11-29"	2	2.05	1.97	2	0	2
"2011-11-28"	2.06	2.08	1.95	1.96	0	1.96
"2011-11-25"	1.92	1.97	1.91	1.97	0	1.97
"2011-11-23"	1.92	1.96	1.88	1.88	0	1.88
"2011-11-22"	1.96	1.99	1.94	1.94	0	1.94
"2011-11-21"	1.96	1.97	1.94	1.96	0	1.96
"2011-11-18"	2.01	2.04	1.98	2.01	0	2.01
"2011-11-17"	1.99	2.04	1.94	1.96	0	1.96
"2011-11-16"	2.04	2.05	2.01	2.02	0	2.02
"2011-11-15"	2.01	2.07	2	2.06	0	2.06
"2011-11-14"	2.1	2.1	2.03	2.04	0	2.04
"2011-11-11"	2.06	2.06	2.06	2.06	0	2.06
"2011-11-10"	2.03	2.11	2.01	2.06	0	2.06
"2011-11-09"	1.99	2.01	1.93	1.96	0	1.96
"2011-11-08"	2.05	2.07	2	2.07	0	2.07
"2011-11-07"	2.03	2.06	1.96	1.99	0	1.99
"2011-11-04"	2.08	2.14	2.02	2.05	0	2.05
"2011-11-03"	2.05	2.08	2.02	2.07	0	2.07
"2011-11-02"	2.05	2.06	1.99	2.01	0	2.01
"2011-11-01"	2.03	2.05	1.96	2	0	2
"2011-10-31"	2.24	2.24	2.17	2.17	0	2.17
"2011-10-28"	2.37	2.37	2.29	2.31	0	2.31
"2011-10-27"	2.3	2.41	2.27	2.39	0	2.39
"2011-10-26"	2.14	2.21	2.11	2.2	0	2.2
"2011-10-25"	2.25	2.26	2.11	2.13	0	2.13
"2011-10-24"	2.18	2.24	2.17	2.23	0	2.23
"2011-10-21"	2.21	2.24	2.18	2.2	0	2.2
"2011-10-20"	2.17	2.21	2.11	2.18	0	2.18
"2011-10-19"	2.19	2.22	2.13	2.16	0	2.16
"2011-10-18"	2.1	2.17	2.1	2.15	0	2.15
"2011-10-17"	2.23	2.24	2.15	2.15	0	2.15
"2011-10-14"	2.23	2.26	2.21	2.23	0	2.23
"2011-10-13"	2.2	2.2	2.12	2.17	0	2.17
"2011-10-12"	2.23	2.27	2.19	2.23	0	2.23
"2011-10-11"	2.15	2.18	2.13	2.16	0	2.16
"2011-10-10"	2.08	2.08	2.08	2.08	0	2.08
"2011-10-07"	2.01	2.12	2.01	2.07	0	2.07
"2011-10-06"	1.92	1.99	1.91	1.99	0	1.99
"2011-10-05"	1.86	1.91	1.84	1.9	0	1.9
"2011-10-04"	1.74	1.84	1.72	1.78	0	1.78
"2011-10-03"	1.88	1.89	1.78	1.78	0	1.78
"2011-09-30"	1.95	1.96	1.89	1.92	0	1.92
"2011-09-29"	1.97	2.03	1.95	1.96	0	1.96
"2011-09-28"	1.98	2.07	1.97	2	0	2
"2011-09-27"	1.98	2.02	1.96	2.02	0	2.02
"2011-09-26"	1.85	1.91	1.83	1.9	0	1.9
"2011-09-23"	1.7	1.82	1.7	1.81	0	1.81
"2011-09-22"	1.76	1.79	1.7	1.72	0	1.72
"2011-09-21"	1.93	1.96	1.86	1.88	0	1.88
"2011-09-20"	1.97	1.99	1.93	1.95	0	1.95
"2011-09-19"	1.99	1.99	1.93	1.94	0	1.94
"2011-09-16"	2.09	2.12	2.06	2.08	0	2.08
"2011-09-15"	2.03	2.12	2.03	2.09	0	2.09
"2011-09-14"	2.03	2.03	1.96	2.01	0	2.01
"2011-09-13"	1.95	2.01	1.94	1.99	0	1.99
"2011-09-12"	1.9	1.95	1.9	1.93	0	1.93
"2011-09-09"	2.01	2.02	1.9	1.91	0	1.91
"2011-09-08"	1.99	2.04	1.98	1.99	0	1.99
"2011-09-07"	2.02	2.06	2.01	2.04	0	2.04
"2011-09-06"	1.95	1.99	1.93	1.98	0	1.98
"2011-09-02"	2.12	2.16	2	2	0	2
"2011-09-01"	2.2	2.28	2.14	2.15	0	2.15
"2011-08-31"	2.16	2.22	2.14	2.22	0	2.22
"2011-08-30"	2.2	2.21	2.16	2.18	0	2.18
"2011-08-29"	2.22	2.3	2.22	2.27	0	2.27
"2011-08-26"	2.19	2.22	2.12	2.19	0	2.19
"2011-08-25"	2.29	2.29	2.21	2.22	0	2.22
"2011-08-24"	2.15	2.27	2.14	2.26	0	2.26
"2011-08-23"	2.16	2.16	2.06	2.14	0	2.14
"2011-08-22"	2.12	2.13	2.08	2.09	0	2.09
"2011-08-19"	2.11	2.12	2.07	2.07	0	2.07
"2011-08-18"	2.1	2.11	1.98	2.08	0	2.08
"2011-08-17"	2.24	2.26	2.16	2.16	0	2.16
"2011-08-16"	2.27	2.3	2.2	2.21	0	2.21
"2011-08-15"	2.27	2.29	2.23	2.29	0	2.29
"2011-08-12"	2.28	2.31	2.22	2.24	0	2.24
"2011-08-11"	2.13	2.36	2.13	2.34	0	2.34
"2011-08-10"	2.21	2.22	2.09	2.14	0	2.14
"2011-08-09"	2.39	2.41	2.17	2.18	0	2.18
"2011-08-08"	2.5	2.5	2.33	2.34	0	2.34
"2011-08-05"	2.46	2.58	2.43	2.56	0	2.56
"2011-08-04"	2.58	2.6	2.46	2.46	0	2.46
"2011-08-03"	2.61	2.63	2.55	2.6	0	2.6
"2011-08-02"	2.69	2.72	2.6	2.62	0	2.62
"2011-08-01"	2.79	2.82	2.72	2.74	0	2.74
"2011-07-29"	2.92	2.92	2.81	2.81	0	2.81
"2011-07-28"	2.96	2.97	2.93	2.95	0	2.95
"2011-07-27"	2.96	3.01	2.94	2.98	0	2.98
"2011-07-26"	3.03	3.03	2.94	2.95	0	2.95
"2011-07-25"	3	3.03	2.94	3	0	3
"2011-07-22"	2.99	2.99	2.96	2.96	0	2.96
"2011-07-21"	2.96	3.04	2.95	3.01	0	3.01
"2011-07-20"	2.91	2.94	2.9	2.93	0	2.93
"2011-07-19"	2.95	2.96	2.88	2.89	0	2.89
"2011-07-18"	2.88	2.93	2.88	2.91	0	2.91
"2011-07-15"	2.95	2.98	2.9	2.91	0	2.91
"2011-07-14"	2.91	2.95	2.89	2.94	0	2.94
"2011-07-13"	2.94	2.95	2.89	2.89	0	2.89
"2011-07-12"	2.9	2.94	2.88	2.91	0	2.91
"2011-07-11"	2.95	2.97	2.91	2.92	0	2.92
"2011-07-08"	3.17	3.18	3.01	3.02	0	3.02
"2011-07-07"	3.16	3.17	3.14	3.15	0	3.15
"2011-07-06"	3.08	3.12	3.07	3.1	0	3.1
"2011-07-05"	3.15	3.16	3.12	3.14	0	3.14
"2011-07-01"	3.15	3.22	3.14	3.2	0	3.2
"2011-06-30"	3.1	3.22	3.09	3.16	0	3.16
"2011-06-29"	3.07	3.13	3.06	3.11	0	3.11
"2011-06-28"	2.93	3.06	2.93	3.05	0	3.05
"2011-06-27"	2.88	2.93	2.86	2.93	0	2.93
"2011-06-24"	2.91	2.94	2.85	2.87	0	2.87
"2011-06-23"	2.94	2.94	2.89	2.91	0	2.91
"2011-06-22"	2.96	2.99	2.94	2.99	0	2.99
"2011-06-21"	2.98	3	2.95	2.98	0	2.98
"2011-06-20"	2.9	2.98	2.9	2.96	0	2.96
"2011-06-17"	2.97	2.98	2.93	2.94	0	2.94
"2011-06-16"	2.9	2.96	2.89	2.91	0	2.91
"2011-06-15"	3.08	3.1	2.96	2.97	0	2.97
"2011-06-14"	3.02	3.1	3.01	3.1	0	3.1
"2011-06-13"	2.99	3.01	2.95	2.99	0	2.99
"2011-06-10"	2.97	2.98	2.94	2.97	0	2.97
"2011-06-09"	2.93	3.02	2.92	3	0	3
"2011-06-08"	2.97	2.98	2.93	2.96	0	2.96
"2011-06-07"	3.03	3.06	3.01	3.01	0	3.01
"2011-06-06"	3	3.04	3	3	0	3
"2011-06-03"	3.02	3.02	2.95	3	0	3
"2011-06-02"	2.97	3.03	2.97	3.03	0	3.03
"2011-06-01"	3.02	3.02	2.95	2.97	0	2.97
"2011-05-31"	3.09	3.1	3.04	3.05	0	3.05
"2011-05-27"	3.09	3.1	3.06	3.06	0	3.06
"2011-05-26"	3.15	3.15	3.06	3.06	0	3.06
"2011-05-25"	3.12	3.14	3.1	3.13	0	3.13
"2011-05-24"	3.15	3.16	3.11	3.12	0	3.12
"2011-05-23"	3.1	3.14	3.09	3.13	0	3.13
"2011-05-20"	3.16	3.19	3.15	3.15	0	3.15
"2011-05-19"	3.19	3.24	3.17	3.17	0	3.17
"2011-05-18"	3.1	3.18	3.1	3.17	0	3.17
"2011-05-17"	3.15	3.15	3.1	3.12	0	3.12
"2011-05-16"	3.17	3.2	3.15	3.15	0	3.15
"2011-05-13"	3.23	3.23	3.13	3.19	0	3.19
"2011-05-12"	3.18	3.25	3.17	3.23	0	3.23
"2011-05-11"	3.22	3.22	3.15	3.16	0	3.16
"2011-05-10"	3.16	3.2	3.16	3.19	0	3.19
"2011-05-09"	3.17	3.18	3.13	3.14	0	3.14
"2011-05-06"	3.17	3.24	3.13	3.16	0	3.16
"2011-05-05"	3.19	3.2	3.16	3.17	0	3.17
"2011-05-04"	3.26	3.27	3.21	3.22	0	3.22
"2011-05-03"	3.26	3.28	3.25	3.26	0	3.26
"2011-05-02"	3.31	3.31	3.26	3.29	0	3.29
"2011-04-29"	3.3	3.33	3.29	3.3	0	3.3
"2011-04-28"	3.33	3.35	3.3	3.31	0	3.31
"2011-04-27"	3.35	3.39	3.34	3.37	0	3.37
"2011-04-26"	3.36	3.37	3.31	3.32	0	3.32
"2011-04-25"	3.38	3.4	3.36	3.36	0	3.36
"2011-04-21"	3.39	3.4	3.37	3.4	0	3.4
"2011-04-20"	3.4	3.4	3.37	3.4	0	3.4
"2011-04-19"	3.39	3.4	3.35	3.36	0	3.36
"2011-04-18"	3.37	3.45	3.36	3.37	0	3.37
"2011-04-15"	3.47	3.47	3.4	3.41	0	3.41
"2011-04-14"	3.44	3.5	3.42	3.48	0	3.48
"2011-04-13"	3.52	3.55	3.46	3.47	0	3.47
"2011-04-12"	3.53	3.54	3.47	3.5	0	3.5
"2011-04-11"	3.6	3.6	3.56	3.57	0	3.57
"2011-04-08"	3.6	3.62	3.57	3.57	0	3.57
"2011-04-07"	3.57	3.58	3.52	3.56	0	3.56
"2011-04-06"	3.5	3.55	3.5	3.55	0	3.55
