"Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"
"2012-02-08"	0.82	0.83	0.81	0.82	0	0.82
"2012-02-07"	0.76	0.82	0.76	0.81	0	0.81
"2012-02-06"	0.77	0.78	0.75	0.75	0	0.75
"2012-02-03"	0.7	0.79	0.7	0.79	0	0.79
"2012-02-02"	0.71	0.73	0.71	0.71	0	0.71
"2012-02-01"	0.72	0.73	0.71	0.73	0	0.73
"2012-01-31"	0.74	0.75	0.71	0.71	0	0.71
"2012-01-30"	0.73	0.74	0.72	0.73	0	0.73
"2012-01-27"	0.78	0.78	0.74	0.75	0	0.75
"2012-01-26"	0.78	0.79	0.75	0.77	0	0.77
"2012-01-25"	0.89	0.9	0.76	0.8	0	0.8
"2012-01-24"	0.91	0.92	0.9	0.9	0	0.9
"2012-01-23"	0.91	0.93	0.9	0.91	0	0.91
"2012-01-20"	0.86	0.89	0.85	0.89	0	0.89
"2012-01-19"	0.83	0.87	0.81	0.85	0	0.85
"2012-01-18"	0.79	0.81	0.77	0.8	0	0.8
"2012-01-17"	0.81	0.82	0.78	0.78	0	0.78
"2012-01-13"	0.82	0.82	0.77	0.78	0	0.78
"2012-01-12"	0.82	0.84	0.81	0.83	0	0.83
"2012-01-11"	0.84	0.84	0.81	0.82	0	0.82
"2012-01-10"	0.87	0.88	0.84	0.85	0	0.85
"2012-01-09"	0.87	0.87	0.82	0.84	0	0.84
"2012-01-06"	0.89	0.92	0.85	0.86	0	0.86
"2012-01-05"	0.88	0.91	0.85	0.88	0	0.88
"2012-01-04"	0.87	0.9	0.87	0.89	0	0.89
"2012-01-03"	0.88	0.89	0.86	0.89	0	0.89
"2011-12-30"	0.88	0.88	0.83	0.83	0	0.83
"2011-12-29"	0.91	0.92	0.87	0.88	0	0.88
"2011-12-28"	0.96	0.96	0.9	0.9	0	0.9
"2011-12-27"	0.98	0.98	0.95	0.97	0	0.97
"2011-12-23"	0.93	0.99	0.92	0.98	0	0.98
"2011-12-22"	0.92	0.93	0.89	0.92	0	0.92
"2011-12-21"	0.87	0.92	0.87	0.92	0	0.92
"2011-12-20"	0.84	0.87	0.84	0.86	0	0.86
"2011-12-19"	0.82	0.83	0.8	0.81	0	0.81
"2011-12-16"	0.86	0.87	0.8	0.81	0	0.81
"2011-12-15"	0.85	0.88	0.84	0.85	0	0.85
"2011-12-14"	0.85	0.86	0.84	0.85	0	0.85
"2011-12-13"	0.88	0.89	0.83	0.85	0	0.85
"2011-12-12"	0.87	0.87	0.84	0.86	0	0.86
"2011-12-09"	0.86	0.89	0.84	0.88	0	0.88
"2011-12-08"	0.91	0.93	0.84	0.84	0	0.84
"2011-12-07"	0.93	0.94	0.88	0.88	0	0.88
"2011-12-06"	0.96	0.96	0.93	0.94	0	0.94
"2011-12-05"	0.95	0.98	0.93	0.94	0	0.94
"2011-12-02"	0.99	1.02	0.92	0.92	0	0.92
"2011-12-01"	0.98	0.99	0.94	0.97	0	0.97
"2011-11-30"	0.95	1.01	0.94	0.95	0	0.95
"2011-11-29"	0.94	0.97	0.91	0.93	0	0.93
"2011-11-28"	0.99	1	0.91	0.92	0	0.92
"2011-11-25"	0.9	0.94	0.9	0.94	0	0.94
"2011-11-23"	0.9	0.93	0.88	0.88	0	0.88
"2011-11-22"	0.89	0.93	0.88	0.88	0	0.88
"2011-11-21"	0.9	0.91	0.88	0.91	0	0.91
"2011-11-18"	0.9	0.93	0.89	0.92	0	0.92
"2011-11-17"	0.88	0.93	0.86	0.87	0	0.87
"2011-11-16"	0.9	0.91	0.88	0.9	0	0.9
"2011-11-15"	0.88	0.92	0.87	0.91	0	0.91
"2011-11-14"	0.93	0.93	0.88	0.9	0	0.9
"2011-11-11"	0.9	0.9	0.9	0.9	0	0.9
"2011-11-10"	0.89	0.94	0.88	0.91	0	0.91
"2011-11-09"	0.87	0.89	0.84	0.86	0	0.86
"2011-11-08"	0.9	0.92	0.88	0.92	0	0.92
